SampleID	Tissue	Genotype	Treatment	Replicate	paired
s001	seedling_leaf3	JRB2		1	TRUE
s002	seedling_leaf3	JRC3		1	TRUE
s003	seedling_leaf3	JRC3		2	TRUE
s004	seedling_leaf3	JRC3		3	TRUE
s005	seedling_leaf3	JRC3		4	TRUE
s006	seedling_leaf3	JRC3		5	TRUE
s007	seedling_leaf3	JRD3		1	TRUE
s008	seedling_leaf3	JRF1		1	TRUE
s009	seedling_leaf3	JRH1		1	TRUE
s010	seedling_leaf3	JRH1		2	TRUE
s011	seedling_leaf3	JRH1		3	TRUE
s012	seedling_leaf3	JRH1		4	TRUE
s013	seedling_leaf3	JRH1		5	TRUE
s014	seedling_leaf3	JRH2		1	TRUE
s015	seedling_leaf3	JRH2		2	TRUE
s016	seedling_leaf3	JRH2		3	TRUE
s017	seedling_leaf3	JRH2		4	TRUE
s018	seedling_leaf3	JRH2		5	TRUE
s019	seedling_leaf3	TEO11		1	TRUE
s020	seedling_leaf3	TEO11		2	TRUE
s021	seedling_leaf3	TEO11		3	TRUE
s022	seedling_leaf3	TEO11		4	TRUE
s023	seedling_leaf3	TEO11		5	TRUE
s024	seedling_leaf3	TEO1		1	TRUE
s025	seedling_leaf3	TEO1		2	TRUE
s026	seedling_leaf3	TEO1		3	TRUE
s027	seedling_leaf3	TEO1		4	TRUE
s028	seedling_leaf3	TEO1		5	TRUE
s029	seedling_leaf3	A632		1	TRUE
s030	seedling_leaf3	A632		2	TRUE
s031	seedling_leaf3	A632		3	TRUE
s032	seedling_leaf3	A632		4	TRUE
s033	seedling_leaf3	A632		5	TRUE
s034	seedling_leaf3	A632		6	TRUE
s035	seedling_leaf3	A632		7	TRUE
s036	seedling_leaf3	A632		8	TRUE
s037	seedling_leaf3	B37		1	TRUE
s038	seedling_leaf3	B37		2	TRUE
s039	seedling_leaf3	B37		3	TRUE
s040	seedling_leaf3	B37		4	TRUE
s041	seedling_leaf3	B37		5	TRUE
s042	seedling_leaf3	B37		6	TRUE
s043	seedling_leaf3	B37		7	TRUE
s044	seedling_leaf3	B37		8	TRUE
s045	anther	B73		1	TRUE
s046	anther	B73		2	TRUE
s047	anther	B73		3	TRUE
s048	anther	B73		4	TRUE
s049	anther	B73		5	TRUE
s050	anther	B73		6	TRUE
s051	anther	B73		7	TRUE
s052	anther	B73		8	TRUE
s053	seedling_leaf3	B73		1	TRUE
s054	seedling_leaf3	B73		2	TRUE
s055	seedling_leaf3	B73		3	TRUE
s056	seedling_leaf3	B73		4	TRUE
s057	seedling_leaf3	B73		5	TRUE
s058	seedling_leaf3	B73		6	TRUE
s059	seedling_leaf3	B73		7	TRUE
s060	seedling_leaf3	B73		8	TRUE
s061	earshoot	B73		1	TRUE
s062	earshoot	B73		2	TRUE
s063	earshoot	B73		3	TRUE
s064	earshoot	B73		4	TRUE
s065	earshoot	B73		5	TRUE
s066	earshoot	B73		6	TRUE
s067	earshoot	B73		7	TRUE
s068	earshoot	B73		8	TRUE
s069	flagleaf	B73		1	TRUE
s070	flagleaf	B73		2	TRUE
s071	flagleaf	B73		3	TRUE
s072	flagleaf	B73		4	TRUE
s073	flagleaf	B73		5	TRUE
s074	flagleaf	B73		6	TRUE
s075	flagleaf	B73		7	TRUE
s076	flagleaf	B73		8	TRUE
s077	SAM	B73		1	TRUE
s078	SAM	B73		2	TRUE
s079	SAM	B73		3	TRUE
s080	SAM	B73		4	TRUE
s081	SAM	B73		5	TRUE
s082	SAM	B73		6	TRUE
s083	SAM	B73		7	TRUE
s084	SAM	B73		8	TRUE
s085	seedling_leaf3	B97		1	TRUE
s086	seedling_leaf3	B97		2	TRUE
s087	seedling_leaf3	B97		3	TRUE
s088	seedling_leaf3	B97		4	TRUE
s089	seedling_leaf3	B97		5	TRUE
s090	seedling_leaf3	B97		6	TRUE
s091	seedling_leaf3	B97		7	TRUE
s092	seedling_leaf3	B97		8	TRUE
s093	seedling_leaf3	JRA2		1	TRUE
s094	seedling_leaf3	JRA2		2	TRUE
s095	seedling_leaf3	JRA2		3	TRUE
s096	seedling_leaf3	JRA2		4	TRUE
s097	seedling_leaf3	JRA2		5	TRUE
s098	seedling_leaf3	JRA2		6	TRUE
s099	seedling_leaf3	JRC1		1	TRUE
s100	seedling_leaf3	JRC1		2	TRUE
s101	seedling_leaf3	JRC1		3	TRUE
s102	seedling_leaf3	JRC1		4	TRUE
s103	seedling_leaf3	JRC1		5	TRUE
s104	seedling_leaf3	JRC1		6	TRUE
s105	seedling_leaf3	JRC2		1	TRUE
s106	seedling_leaf3	JRC2		2	TRUE
s107	seedling_leaf3	JRC2		3	TRUE
s108	seedling_leaf3	JRC2		4	TRUE
s109	seedling_leaf3	JRC2		5	TRUE
s110	seedling_leaf3	JRC2		6	TRUE
s111	seedling_leaf3	JRD1		1	TRUE
s112	seedling_leaf3	JRD1		2	TRUE
s113	seedling_leaf3	JRD1		3	TRUE
s114	seedling_leaf3	JRD1		4	TRUE
s115	seedling_leaf3	JRD1		5	TRUE
s116	seedling_leaf3	JRD1		6	TRUE
s117	seedling_leaf3	JRE1		1	TRUE
s118	seedling_leaf3	JRE1		2	TRUE
s119	seedling_leaf3	JRE1		3	TRUE
s120	seedling_leaf3	JRE1		4	TRUE
s121	seedling_leaf3	JRE1		5	TRUE
s122	seedling_leaf3	JRE1		6	TRUE
s123	seedling_leaf3	JRG1		1	TRUE
s124	seedling_leaf3	JRG1		2	TRUE
s125	seedling_leaf3	JRG1		3	TRUE
s126	seedling_leaf3	JRG1		4	TRUE
s127	seedling_leaf3	JRG1		5	TRUE
s128	seedling_leaf3	JRG1		6	TRUE
s129	seedling_leaf3	JRA3		1	TRUE
s130	seedling_leaf3	JRA3		2	TRUE
s131	seedling_leaf3	JRA3		3	TRUE
s132	seedling_leaf3	JRA3		4	TRUE
s133	seedling_leaf3	JRA3		5	TRUE
s134	seedling_leaf3	JRA3		6	TRUE
s135	seedling_leaf3	JRA3		7	TRUE
s136	seedling_leaf3	JRB1		1	TRUE
s137	seedling_leaf3	JRB3		1	TRUE
s138	seedling_leaf3	JRB3		2	TRUE
s139	seedling_leaf3	JRB3		3	TRUE
s140	seedling_leaf3	JRB3		4	TRUE
s141	seedling_leaf3	JRB3		5	TRUE
s142	seedling_leaf3	JRB3		6	TRUE
s143	seedling_leaf3	JRB3		7	TRUE
s144	seedling_leaf3	JRE2		1	TRUE
s145	seedling_leaf3	JRE2		2	TRUE
s146	seedling_leaf3	JRE2		3	TRUE
s147	seedling_leaf3	JRE2		4	TRUE
s148	seedling_leaf3	JRE2		5	TRUE
s149	seedling_leaf3	JRE2		6	TRUE
s150	seedling_leaf3	JRE2		7	TRUE
s151	seedling_leaf3	JRE2		8	TRUE
s152	seedling_leaf3	JRE2		9	TRUE
s153	seedling_leaf3	JRE2		10	TRUE
s154	seedling_leaf3	JRE2		11	TRUE
s155	seedling_leaf3	JRE2		12	TRUE
s156	seedling_leaf3	JRE2		13	TRUE
s157	seedling_leaf3	JRE2		14	TRUE
s158	seedling_leaf3	PHG47		1	TRUE
s159	seedling_leaf3	PHG47		2	TRUE
s160	seedling_leaf3	PHG47		3	TRUE
s161	seedling_leaf3	PHG47		4	TRUE
s162	seedling_leaf3	PHG47		5	TRUE
s163	seedling_leaf3	PHG47		6	TRUE
s164	seedling_leaf3	PHG47		7	TRUE
s165	seedling_leaf3	PHJ40		1	TRUE
s166	seedling_leaf3	PHJ40		2	TRUE
s167	seedling_leaf3	PHJ40		3	TRUE
s168	seedling_leaf3	PHJ40		4	TRUE
