SampleID	Tissue	Genotype	Treatment	Replicate	paired
s01	seedling_leaf3	B73		1	TRUE
s02	seedling_leaf3	B73		2	TRUE
s03	seedling_leaf3	Mo17		1	TRUE
s04	seedling_leaf3	Mo17		2	TRUE
s05	seedling_leaf3	B73		3	TRUE
s06	seedling_leaf3	B73		4	TRUE
s07	seedling_leaf3	Mo17		3	TRUE
s08	seedling_leaf3	Mo17		4	TRUE
s09	seedling_leaf3	B73		5	TRUE
s10	seedling_leaf3	B73		6	TRUE
s11	seedling_leaf3	CML322		1	TRUE
s12	seedling_leaf3	CML322		2	TRUE
s13	seedling_leaf3	CML322		3	TRUE
s14	seedling_leaf3	Oh43		1	TRUE
s15	seedling_leaf3	Oh43		2	TRUE
s16	seedling_leaf3	Oh43		3	TRUE
s17	seedling_leaf3	Tx303		1	TRUE
s18	seedling_leaf3	Tx303		2	TRUE
s19	seedling_leaf3	Tx303		3	TRUE
s20	seedling_leaf3	CML322		4	TRUE
s21	seedling_leaf3	CML322		5	TRUE
s22	seedling_leaf3	CML322		6	TRUE
s23	seedling_leaf3	Oh43		4	TRUE
s24	seedling_leaf3	Oh43		5	TRUE
s25	seedling_leaf3	Oh43		6	TRUE
s26	seedling_leaf3	Tx303		4	TRUE
s27	seedling_leaf3	Tx303		5	TRUE
s28	seedling_leaf3	Tx303		6	TRUE
