SampleID	Tissue	Genotype	Treatment	Replicate	paired
s01	leaf	unk		1	TRUE
s02	leaf	unk		2	TRUE
s03	leaf	unk		3	TRUE
s04	leaf	unk		4	TRUE
s05	leaf	unk		5	TRUE
s06	leaf	unk		6	TRUE
s07	leaf	unk		7	TRUE
s08	leaf	unk		8	TRUE
s09	leaf	unk		9	TRUE
s10	leaf	unk		10	TRUE
s11	leaf	unk		11	TRUE
s12	leaf	unk		12	TRUE
s13	leaf	unk		13	TRUE
s14	leaf	unk		14	TRUE
s15	leaf	unk		15	TRUE
s16	leaf	unk		16	TRUE
s17	leaf	unk		17	TRUE
s18	leaf	unk		18	TRUE
s19	leaf	unk		19	TRUE
s20	leaf	unk		20	TRUE
s21	leaf	unk		21	TRUE
s22	leaf	unk		22	TRUE
s23	leaf	unk		23	TRUE
s24	leaf	unk		24	TRUE
s25	leaf	BR3		1	TRUE
s26	leaf	BR3		2	TRUE
s27	leaf	BAM349		1	TRUE
s28	leaf	BAM349		2	TRUE
s29	leaf	DI676		1	TRUE
s30	leaf	DI676		2	TRUE
s31	leaf	W22		1	TRUE
s32	leaf	W22		2	TRUE
s33	leaf	Arc60		1	TRUE
s34	root	Arc60		1	TRUE
s35	callus	Arc60		1	TRUE
s36	callus	Arc60		2	TRUE
s37	leaf	unk		25	TRUE
s38	leaf	unk		26	TRUE
s39	leaf	unk		27	TRUE
s40	leaf	unk		28	TRUE
s41	leaf	unk		29	TRUE
s42	leaf	unk		30	TRUE
s43	leaf	unk		31	TRUE
s44	leaf	unk		32	TRUE
s45	leaf	unk		33	TRUE
s46	leaf	unk		34	TRUE
s47	leaf	unk		35	TRUE
s48	leaf	unk		36	TRUE
s49	leaf	unk		37	TRUE
s50	leaf	unk		38	TRUE
s51	leaf	unk		39	TRUE
s52	leaf	unk		40	TRUE
s53	leaf	unk		41	TRUE
s54	leaf	unk		42	TRUE
s55	leaf	unk		43	TRUE
