SampleID	Tissue	Genotype	Treatment	Replicate	paired
s01	seedling_leaf3	LH82		1	TRUE
s02	seedling_leaf3	LH82		2	TRUE
s03	seedling_leaf3	LH82		3	TRUE
s04	seedling_leaf3	LH82		4	TRUE
s05	seedling_leaf3	LH82		5	TRUE
s06	seedling_leaf3	LH82		6	TRUE
s07	seedling_leaf3	Mo17		1	TRUE
s08	seedling_leaf3	Mo17		2	TRUE
s09	seedling_leaf3	Mo17		3	TRUE
s10	seedling_leaf3	Mo17		4	TRUE
s11	seedling_leaf3	Mo17		5	TRUE
s12	seedling_leaf3	Mo17		6	TRUE
s13	seedling_leaf3	P39		1	TRUE
s14	seedling_leaf3	P39		2	TRUE
s15	seedling_leaf3	P39		3	TRUE
s16	seedling_leaf3	P39		4	TRUE
s17	seedling_leaf3	P39		5	TRUE
s18	seedling_leaf3	P39		6	TRUE
s19	seedling_leaf3	PH207		1	TRUE
s20	seedling_leaf3	PH207		2	TRUE
s21	seedling_leaf3	PH207		3	TRUE
s22	seedling_leaf3	PH207		4	TRUE
s23	seedling_leaf3	PH207		5	TRUE
s24	seedling_leaf3	PH207		6	TRUE
s25	seedling_leaf3	PHZ51		1	TRUE
s26	seedling_leaf3	PHZ51		2	TRUE
s27	seedling_leaf3	PHZ51		3	TRUE
s28	seedling_leaf3	PHZ51		4	TRUE
s29	seedling_leaf3	PHZ51		5	TRUE
s30	seedling_leaf3	PHZ51		6	TRUE
s31	seedling_leaf3	W22		1	TRUE
s32	seedling_leaf3	W22		2	TRUE
s33	seedling_leaf3	W22		3	TRUE
s34	seedling_leaf3	W22		4	TRUE
s35	seedling_leaf3	W22		5	TRUE
s36	seedling_leaf3	W22		6	TRUE
s37	seedling_leaf3	LH82		7	TRUE
s38	seedling_leaf3	Mo17		7	TRUE
s39	seedling_leaf3	P39		7	TRUE
s40	seedling_leaf3	PH207		7	TRUE
s41	seedling_leaf3	PHZ51		7	TRUE
s42	seedling_leaf3	W22		7	TRUE
s43	seedling_leaf3	PH207		8	TRUE
s44	seedling_leaf3	PH207		9	TRUE
s45	seedling_leaf3	PH207		10	TRUE
s46	seedling_leaf3	PH207		11	TRUE
s47	seedling_leaf3	PH207		12	TRUE
s48	seedling_leaf3	PH207		13	TRUE
s49	seedling_leaf3	PH207		14	TRUE
